category,patch_file,dissimilarity_d1,dissimilarity_d3,dissimilarity_d5,correlation_d1,correlation_d3,correlation_d5,contrast_d1,contrast_d3,contrast_d5,energy_d1,energy_d3,energy_d5,homogeneity_d1,homogeneity_d3,homogeneity_d5,ASM_d1,ASM_d3,ASM_d5
gres,gres_p_0_0.png,2.346362845069441,2.427922670225494,2.489032638765515,0.33076953639244877,0.28558801507244813,0.25478650494540883,9.499122674026614,10.132083534108071,10.569814284007181,0.11742998596964507,0.1160773324195041,0.11515130831801441,0.34594125350754595,0.3362750195054016,0.32890360712777933,0.013790109581764269,0.013473958479595045,0.013259842285163206
gres,gres_p_0_128.png,2.8253111389035293,2.9003689885676462,2.962232990464497,0.20789439446442812,0.1640799790426813,0.12554967426238645,13.140490464574711,13.837495216836706,14.434237851804737,0.10302117810472551,0.10250335684807314,0.10238404489710438,0.29209867505810666,0.2861512879462431,0.2822780032975727,0.010613484453785876,0.010506944432570772,0.01048250596584572
gres,gres_p_0_256.png,3.177634835738423,3.3111332514487235,3.4072278761167194,0.23880257519309323,0.16801366539131757,0.12213812108818077,16.64423057361741,18.212888337742463,19.24577449982761,0.0909539166203483,0.09017162882909252,0.08964126178538974,0.26654161649922725,0.259205310536918,0.2535133977794821,0.008272892196256865,0.00813092664735262,0.008035601046722834
gres,gres_p_0_384.png,2.8807704920097352,3.062919859378932,3.146698436693655,0.2860230100669034,0.1901119320644668,0.14453864055783008,13.845473530790839,15.651549906305087,16.458779830831283,0.09849033639279733,0.09739530111293054,0.09712170363291689,0.2906878282072033,0.27653077946556864,0.2718441696867781,0.009700557440328106,0.009485865597174917,0.009432711313442118
gres,gres_p_128_0.png,2.074530688123877,2.1329136865394283,2.178802452798363,0.21148105160379133,0.1679697806009611,0.1368955845331168,7.300792632835274,7.690602572278902,7.962158006908666,0.14202802987695926,0.14084426894591176,0.14051028737096893,0.37261647111363616,0.3645805497382202,0.3571193799286669,0.020172223971779788,0.019837160558750518,0.01974326808764609
gres,gres_p_128_128.png,2.4931931856051213,2.581117968946836,2.623184763447203,0.3269153726756677,0.27914069100113525,0.2520586186103647,10.375498786153832,11.097541540690338,11.471264014555459,0.11082954897210764,0.10966095956882922,0.10938349994082158,0.3236405590268796,0.31478922848763036,0.31108685460779617,0.012284044535548022,0.012025557252730246,0.011964776886026927
gres,gres_p_128_256.png,3.021099901574805,3.114256723985887,3.176837629173966,0.23454172605507606,0.1821864157451675,0.1518142681696068,14.961223524009565,15.964666272990645,16.57111861453391,0.09571798655078921,0.09513703369771398,0.09475496526669881,0.2764030328344273,0.2701436308398858,0.265289028602182,0.009162129967066624,0.009051080400509613,0.008978507568311606
gres,gres_p_128_384.png,2.996146910262574,3.1878931209057675,3.3034704134518575,0.35992282911246837,0.27178015973708713,0.2173614671515493,14.809624380967525,16.78973060358399,17.93921090729508,0.08887719227442506,0.08760417059672795,0.08712213935258352,0.27845921236041304,0.26665240017268343,0.2587059411101931,0.007899295588531606,0.007674500053778299,0.007590312291127398
gres,gres_p_256_0.png,2.10642006440263,2.210770427847062,2.2647500155981652,0.26460290954373655,0.18832006759542935,0.15081256135695195,7.666975779264066,8.446908647486755,8.82233580022292,0.1344921334959135,0.13287082374237197,0.13241223660776966,0.3712846297031342,0.3592790771713577,0.3520579106295911,0.01808887276729034,0.01765466889930153,0.017533034702633194
gres,gres_p_256_128.png,2.370593631812263,2.4965863095238063,2.567277665329984,0.272494224060552,0.19180345707095042,0.15026997634295458,9.264248645684797,10.28427182539681,10.806985056957105,0.11696553804423007,0.11570574349194074,0.11504046340911223,0.33273452538342563,0.3208050172138842,0.31418966299727896,0.013681248403033216,0.01338782372941417,0.013234357686629882
